2013-10-21 01:08:25 ERR (3): 20131021010825_528  {code:0}  {message:}  {file:C:\wamp\www\tonghoptruyen\library\Core\Utils.php:152}
#0 C:\wamp\www\tonghoptruyen\application\models\Worker\Test.php(25): Core_Utils::test()
#1 C:\wamp\www\tonghoptruyen\console.php(55): Application_Model_Worker_Test->start()
#2 {main}


2013-10-21 01:18:10 INFO (6): 20131021011810_84  begin get comic

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Get comics in url http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent  http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat  begin  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Count = 1

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent success  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ichi-the-Killer---------?id=9002","seo_name":"Ichi the Killer","name":"Ichi the Killer","source_id":"3","url":"ichi-the-killer","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:11 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:12 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mujaki-no-Rakuen----?id=8995","seo_name":"Mujaki no Rakuen","name":"Mujaki no Rakuen","source_id":"3","url":"mujaki-no-rakuen","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:12 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:13 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/My-Feeling-Rivetra-SnK-Dou?id=8985","seo_name":"Shingeki no Kyojin - My Feeling [RivaPetra]","name":"Shingeki no Kyojin - My Feeling [RivaPetra]","source_id":"3","url":"shingeki-no-kyojin-my-feeling-rivapetra","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:13 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:14 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Kodomo-no-Jikan?id=5988","seo_name":"Kodomo no Jikan","name":"Kodomo no Jikan","source_id":"3","url":"kodomo-no-jikan","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:14 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:15 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Oyasumi-Punpun-MTO?id=8344","seo_name":"Oyasumi Punpun","name":"Oyasumi Punpun","source_id":"3","url":"oyasumi-punpun","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:15 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:16 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Sekirei?id=8464","seo_name":"Sekirei","name":"Sekirei","source_id":"3","url":"sekirei","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:17 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:18 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Chuyen-chang-Minamoto-001?id=4119","seo_name":"Chuy\u1ec7n ch\u00e0ng Minamoto","name":"Chuy\u1ec7n ch\u00e0ng Minamoto","source_id":"3","url":"chuyen-chang-minamoto","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:18 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:19 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/7-Daime-no-Tomari-?id=8940","seo_name":"7-Daime no Tomari!","name":"7-Daime no Tomari!","source_id":"3","url":"7-daime-no-tomari","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:19 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:20 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Boku-no-Futatsu-no-Tsubasa-1?id=7150","seo_name":"Boku no Futatsu no Tsubasa","name":"Boku no Futatsu no Tsubasa","source_id":"3","url":"boku-no-futatsu-no-tsubasa","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:20 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:21 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Nekoka-Kareshi-no-Ayashikata?id=8570","seo_name":"Nekoka Kareshi no Ayashikata","name":"Nekoka Kareshi no Ayashikata","source_id":"3","url":"nekoka-kareshi-no-ayashikata","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:21 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:22 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ngung-dong?id=8898","seo_name":"Ng\u01b0ng \u0111\u1ecdng","name":"Ng\u01b0ng \u0111\u1ecdng","source_id":"3","url":"ngung-dong","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:22 INFO (6): 20131021011810_84  insert comic  end  1  

